Ranking,Name
1,Murray A.
2,Djokovic N.
3,Wawrinka S.
4,Nadal R.
5,Raonic M.
6,Thiem D.
7,Cilic M.
8,Nishikori K.
9,Zverev A.
10,Goffin D.
11,Dimitrov G.
12,Tsonga J.
13,Berdych T.
14,Sock J.
15,Monfils G.
16,Pouille L.
17,Bautista Agut R.
18,Kyrgios N.
19,Ramos Vinolas A.
20,Carreno Busta P.
21,Isner J
22,Cuevas P
23,Karlovic I.
24,Gasquet R.
25,Johnson S.
26,Muller G.
27,Querrey S
28,Fognini F.
29,Martin del Potro J.
30,Ferrer D.
31,Simon G.
32,Zverev M.
