,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_Win%,PlayerA_bestof,PlayerA_minutes,PlayerA_svpt%,PlayerA_1st_serve%,PlayerA_1st_serve_won%,PlayerA_2nd_serve_won%,PlayerA_ace%,PlayerA_df%,PlayerA_bp_faced%,PlayerA_bp_saved%,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_Win%,PlayerB_bestof,PlayerB_minutes,PlayerB_svpt%,PlayerB_1st_serve%,PlayerB_1st_serve_won%,PlayerB_2nd_serve_won%,PlayerB_ace%,PlayerB_df%,PlayerB_bp_faced%,PlayerB_bp_saved%,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
13,Mikhail Youzhny,Jiri Novak,2003,162,64.0000000000,64.0000000000,104022.0000000000,102562.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,20.8788510000,32.0000000000,1045.0000000000,0.2000000000,3.8000000000,101.8000000000,0.5126360000,0.5342410000,0.6267186000,0.4885010000,0.0291934000,0.0333350000,0.1194826000,0.5611112000,190.0000000000,28.1396290000,10.0000000000,1801.0000000000,0.2500000000,3.5000000000,92.7500000000,0.4962105000,0.6700535000,0.6284637500,0.4540047500,0.0393252500,0.0228040000,0.1033055000,0.5441920000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
16,Gaston Gaudio,James Blake,2003,162,64.0000000000,64.0000000000,103292.0000000000,103484.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,175.0000000000,24.4216290000,29.0000000000,1080.0000000000,0.3333333333,3.0000000000,139.3333333333,0.4943070000,0.6238333333,0.6901520000,0.4160863333,0.0106666667,0.0183083333,0.1156160000,0.6345030000,185.0000000000,23.3702950000,25.0000000000,1155.0000000000,0.3333333333,3.0000000000,85.6666666667,0.5062908333,0.5710688333,0.6406053333,0.4768133333,0.0419326667,0.0223741667,0.0937605000,0.4285713333,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
21,David Nalbandian,Rainer Schuettler,2003,162,64.0000000000,16.0000000000,103900.0000000000,102783.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,21.3579730000,13.0000000000,1715.0000000000,0.5000000000,4.0000000000,131.0000000000,0.4978555000,0.5596047500,0.6381492500,0.5269237500,0.0350850000,0.0316862500,0.1054572500,0.5192810000,180.0000000000,27.0444910000,11.0000000000,1770.0000000000,0.6000000000,3.0000000000,104.8000000000,0.4809856000,0.6330804000,0.7354040000,0.4957046000,0.0209444000,0.0343424000,0.0916458000,0.5288888000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
23,Guillermo Coria,Mikhail Youzhny,2003,162,64.0000000000,16.0000000000,103909.0000000000,104022.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,175.0000000000,21.3251210000,16.0000000000,1510.0000000000,0.6000000000,3.0000000000,110.8000000000,0.4658704000,0.7515646000,0.6672514000,0.4223126000,0.0100000000,0.0217648000,0.0850226000,0.4851948000,183.0000000000,20.8788510000,32.0000000000,1045.0000000000,0.2000000000,3.8000000000,101.8000000000,0.5126360000,0.5342410000,0.6267186000,0.4885010000,0.0291934000,0.0333350000,0.1194826000,0.5611112000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
27,Guillermo Coria,Gaston Gaudio,2003,162,64.0000000000,4.0000000000,103909.0000000000,103292.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,175.0000000000,21.3251210000,16.0000000000,1510.0000000000,0.6000000000,3.0000000000,110.8000000000,0.4658704000,0.7515646000,0.6672514000,0.4223126000,0.0100000000,0.0217648000,0.0850226000,0.4851948000,175.0000000000,24.4216290000,29.0000000000,1080.0000000000,0.3333333333,3.0000000000,139.3333333333,0.4943070000,0.6238333333,0.6901520000,0.4160863333,0.0106666667,0.0183083333,0.1156160000,0.6345030000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
30,Yevgeny Kafelnikov,Younes El Aynaoui,2003,155,64.0000000000,64.0000000000,102338.0000000000,101962.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,29.2073920000,24.0000000000,1190.0000000000,0.6000000000,3.0000000000,122.2000000000,0.4777536000,0.5863104000,0.6341890000,0.5384494000,0.0267056000,0.0289264000,0.0916562000,0.6112696000,193.0000000000,31.6440790000,23.0000000000,1245.0000000000,0.3333333333,3.6666666667,165.3333333333,0.5184665000,0.6503911667,0.7655100000,0.4694146667,0.1019255000,0.0400853333,0.0531378333,0.4893163333,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
31,Tommy Robredo,Sebastien Grosjean,2003,155,64.0000000000,64.0000000000,103990.0000000000,103206.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,21.0102670000,19.0000000000,1295.0000000000,0.5000000000,3.0000000000,104.5000000000,0.5016100000,0.6698515000,0.6165065000,0.5236957500,0.0231482500,0.0232190000,0.0876110000,0.4761905000,175.0000000000,24.9336070000,14.0000000000,1645.0000000000,0.5000000000,4.0000000000,118.5000000000,0.5422300000,0.5226970000,0.7654775000,0.4984602500,0.0620842500,0.0227522500,0.0807835000,0.8888890000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
35,Yevgeny Kafelnikov,Carlos Moya,2003,155,64.0000000000,16.0000000000,102338.0000000000,102845.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,29.2073920000,24.0000000000,1190.0000000000,0.6000000000,3.0000000000,122.2000000000,0.4777536000,0.5863104000,0.6341890000,0.5384494000,0.0267056000,0.0289264000,0.0916562000,0.6112696000,190.0000000000,26.6858310000,4.0000000000,3035.0000000000,0.7000000000,3.0000000000,87.7000000000,0.4858949000,0.5328297000,0.7017250000,0.5574501000,0.0498320000,0.0285402000,0.0935850000,0.6623961000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
36,Roger Federer,Tommy Robredo,2003,155,64.0000000000,16.0000000000,103819.0000000000,103990.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,21.7385350000,5.0000000000,2545.0000000000,0.6250000000,3.2500000000,101.6250000000,0.5099642500,0.5423952500,0.7587227500,0.5487346250,0.0579511250,0.0399448750,0.0529718750,0.5073967500,180.0000000000,21.0102670000,19.0000000000,1295.0000000000,0.5000000000,3.0000000000,104.5000000000,0.5016100000,0.6698515000,0.6165065000,0.5236957500,0.0231482500,0.0232190000,0.0876110000,0.4761905000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
37,Rainer Schuettler,Jiri Novak,2003,155,64.0000000000,16.0000000000,102783.0000000000,102562.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,27.0253260000,13.0000000000,1650.0000000000,0.5000000000,3.0000000000,125.0000000000,0.4878335000,0.6895060000,0.7000000000,0.4923075000,0.0154980000,0.0272625000,0.0855555000,0.7222220000,190.0000000000,28.1204640000,9.0000000000,1951.0000000000,0.3333333333,3.6666666667,89.0000000000,0.4886183333,0.6626353333,0.6465936667,0.4664506667,0.0402386667,0.0263403333,0.1035526667,0.5589226667,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
