,PlayerA_name,PlayerB_name,Year,Day,PlayerA_id,PlayerB_id,Win%_diff,height_diff,age_diff,rank_diff,rank_points_diff,ace_diff,df_diff,svpt_diff,1stIn_diff,1stWon_diff,2ndWon_diff,SvGms_diff,bpSaved_diff,bpFaced_diff,minutes_diff,bestof_diff,hand_L_diff,hand_R_diff,best_of,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
0,MAGNUS GUSTAFSSON,ANDREI CHESNOKOV,1993,242,101320.000000,101230.000000,0.000000,-0.439495,-0.081246,-1.212189,0.167753,-0.167133,0.601817,0.600021,1.553965,1.620985,-0.139445,1.414834,0.936999,-0.338151,0.502459,0.000000,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,SERGI BRUGUERA,ANDREI CHESNOKOV,1993,242,101843.000000,101230.000000,0.000000,0.016246,-1.099242,-2.362580,0.475724,0.141762,0.184107,1.234785,1.228096,1.750877,0.967977,1.662633,-0.881680,-1.278198,0.429503,0.563780,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,PETE SAMPRAS,CEDRIC PIOLINE,1993,318,101948.000000,101611.000000,0.000000,-0.435905,-0.488296,-0.525436,0.428467,1.867308,0.430249,-0.803112,-0.886553,0.314084,-0.076856,-0.035399,-2.487361,-2.219579,-0.409877,0.134876,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,ALEXANDER VOLKOV,BORIS BECKER,1993,201,101334.000000,101414.000000,0.000000,-0.317680,-0.088147,1.281565,-0.281536,-0.917589,-1.247106,2.356945,1.041596,0.381142,2.931452,2.104594,2.085416,2.082501,0.739456,0.142857,1.000000,-1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,HENRIK HOLM,MARK WOODFORDE,1993,201,101510.000000,101185.000000,0.000000,-0.737339,-0.811021,0.127882,-0.051447,0.822943,7.584195,0.673299,-1.177513,-0.476056,1.519040,1.258211,-4.444888,-2.412807,-0.411513,0.285714,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5,IVAN LENDL,ARNAUD BOETSCH,1993,201,100656.000000,101589.000000,0.000000,0.737339,2.616257,-2.291685,0.760370,-0.069098,-0.474394,-0.145505,-0.470147,-0.316840,-0.002950,-0.573162,1.533158,0.704993,0.913369,-0.500000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,CEDRIC PIOLINE,ANDREI MEDVEDEV,1993,201,101611.000000,102446.000000,0.000000,-0.689169,1.612062,1.967051,-0.587560,-0.455068,0.153371,-0.060049,-0.258757,-0.540511,0.249404,-0.583570,1.553106,0.748929,0.813275,-0.311111,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,AMOS MANSDORF,STEFAN EDBERG,1993,201,101195.000000,101222.000000,0.000000,-1.850326,0.220777,2.254959,-0.676591,1.012478,-0.218203,2.569980,1.198106,0.813376,3.529530,2.105137,0.287993,0.421068,0.514949,-0.350000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,TODD MARTIN,GORAN IVANISEVIC,1993,201,101774.000000,101964.000000,0.000000,0.818000,0.410872,3.050092,-0.917192,-0.752193,0.407616,4.566341,4.948401,4.079564,0.977488,5.282745,2.153946,2.201120,2.038810,-0.500000,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9,HENRIK HOLM,WAYNE FERREIRA,1993,201,101510.000000,101965.000000,0.000000,-0.269510,0.790319,-0.127123,0.145595,1.039862,5.671167,1.747524,0.929915,1.234010,0.803450,2.240869,-0.779388,0.062807,0.600332,0.063492,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,WALLY MASUR,ARNAUD BOETSCH,1993,201,100923.000000,101589.000000,0.000000,-0.484074,1.872681,0.128388,-0.046388,-0.262670,-0.221579,1.870086,1.911310,1.809307,1.297920,1.539884,1.876566,0.982665,0.524317,-0.277778,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
11,ANDRE AGASSI,RICHARD KRAJICEK,1993,201,101736.000000,101990.000000,0.000000,-2.318154,0.410872,0.558870,-0.322024,-2.097395,-1.529045,-3.546065,-2.483749,-3.347124,-3.092526,-3.616887,-0.080579,0.704861,-1.608634,-0.470588,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
12,MICHAEL STICH,PETR KORDA,1993,201,101529.000000,101434.000000,0.000000,0.487665,0.095048,0.233224,-0.235266,1.200248,-0.223065,0.972264,0.039309,0.641103,2.132797,1.395888,-1.091862,-1.007260,0.655280,0.158730,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13,JIM COURIER,WAYNE FERREIRA,1993,201,101793.000000,101965.000000,0.000000,-0.012656,0.410872,-1.065817,0.471196,-0.581020,-1.156861,1.678866,2.091697,2.070440,0.056802,1.914462,0.685082,0.084777,1.137096,0.836601,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,CEDRIC PIOLINE,WALLY MASUR,1993,201,101611.000000,100923.000000,0.000000,1.144910,-1.710189,0.669529,-0.176682,-0.282645,1.128053,-0.087853,-1.150213,-1.543188,0.117302,-0.583570,1.343596,1.568438,0.609353,0.000000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15,PETE SAMPRAS,ANDRE AGASSI,1993,201,101948.000000,101736.000000,0.000000,0.692760,-0.186273,-0.849817,0.561141,2.055020,1.278455,2.468764,1.251802,1.939606,3.114653,2.232905,0.716130,0.001314,0.859707,0.583333,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
16,MICHAEL STICH,BORIS BECKER,1993,201,101529.000000,101414.000000,0.000000,0.387735,-0.390170,-0.015958,0.136761,0.323860,0.397115,2.779425,2.064951,1.976449,2.285686,2.873971,0.613862,0.700392,1.241128,0.380952,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,TODD MARTIN,JIM COURIER,1993,201,101774.000000,101793.000000,0.000000,1.846735,-0.108849,2.579593,-0.802752,0.718959,1.260551,1.329048,1.779101,1.114027,0.273453,1.763534,1.875589,2.115758,0.308171,-1.058824,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,STEFAN EDBERG,CEDRIC PIOLINE,1993,201,101222.000000,101611.000000,0.000000,0.016246,0.987315,-1.714325,0.533354,-0.067598,0.218203,0.043620,0.936698,1.032754,-1.407642,-0.090996,0.526766,0.170800,-0.670365,0.527778,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
19,PETE SAMPRAS,BORIS BECKER,1993,201,101948.000000,101414.000000,0.000000,-0.718071,-1.092342,0.123325,0.043548,0.526486,-0.471307,1.544588,1.093451,1.252148,1.442737,1.523578,0.375678,0.359849,0.447657,0.583333,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
20,JIM COURIER,STEFAN EDBERG,1993,201,101793.000000,101222.000000,0.000000,-0.435905,-1.099242,0.339832,-0.395073,0.619478,-0.443996,0.554848,-0.054208,0.338348,1.375241,0.994963,-1.155401,-1.432833,0.822181,0.308824,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
21,JIM COURIER,PETE SAMPRAS,1993,201,101793.000000,101948.000000,0.000000,0.012656,0.186273,-0.339579,0.404423,-1.204262,-0.729510,0.856595,1.006804,0.618853,0.316599,0.956752,0.602547,0.167409,0.956194,0.475490,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22,RICHARD KRAJICEK,ALEXANDER VOLKOV,1993,242,101990.000000,101334.000000,0.000000,1.221982,-1.092342,-0.198777,0.002425,1.563046,1.267983,0.591345,1.578836,2.579868,-1.518420,0.941119,-2.577718,-2.308257,0.170627,0.303516,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,RICHARD KRAJICEK,PETE SAMPRAS,1993,242,101990.000000,101948.000000,0.000000,1.645231,0.115749,1.423126,-1.588017,-0.261522,0.444220,0.084322,0.322272,0.366132,-0.705793,0.197076,-0.984787,-0.401733,-0.071016,-0.175303,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,RICHARD KRAJICEK,MICHAEL CHANG,1993,242,101990.000000,102021.000000,0.000000,3.056061,0.417772,0.558111,-0.285190,1.767962,1.349676,2.079597,2.679328,3.770967,-0.214653,2.265652,-1.454935,-1.604141,-0.258525,0.559148,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,ANDRE AGASSI,TODD MARTIN,1993,249,101736.000000,101774.000000,0.000000,-2.600320,0.108849,1.968317,-0.363862,-1.127293,0.643254,-0.823499,-1.120757,-1.587497,-0.329444,-0.803233,-0.587998,0.674437,-1.411451,-0.216795,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
26,WALLY MASUR,ANDREI MEDVEDEV,1993,249,100923.000000,102446.000000,0.000000,-1.898495,3.185800,0.738905,-0.126290,0.178568,-0.839996,2.077010,2.779767,3.001386,1.273604,1.842863,1.619439,0.092037,0.578992,-0.004433,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,RICHEY RENEBERG,ANDRE AGASSI,1993,249,101191.000000,101736.000000,-0.550128,0.060825,1.401265,-0.022034,0.044290,1.023839,-2.198597,-2.626755,-3.428688,-3.737879,-0.970935,-3.006121,2.508501,2.626365,-3.778148,-3.449872,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,CEDRIC PIOLINE,MARK WOODFORDE,1993,249,101611.000000,101185.000000,0.000000,-0.016246,-1.282437,-1.318797,0.260014,-0.411971,0.202202,0.572531,0.426904,0.632581,0.451769,0.759026,-2.809229,-1.784294,0.261089,0.266667,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,MICHAEL STICH,AMOS MANSDORF,1993,249,101529.000000,101195.000000,0.000000,2.603910,-0.811021,-1.497312,0.317509,1.183145,2.022245,0.015684,-0.005389,1.107096,-1.054167,0.255186,-0.581466,-0.609674,-0.305710,0.012788,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
30,WAYNE FERREIRA,STEFAN EDBERG,1993,249,101965.000000,101222.000000,0.000000,-0.439495,-1.886482,1.173691,-0.520728,1.512123,0.675269,-0.551689,-1.468637,-0.755419,1.673200,-0.444289,-2.146301,-2.052145,-0.088797,-0.375650,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,MICHAEL STICH,MARK WOODFORDE,1993,249,101529.000000,101185.000000,0.000000,0.769831,-0.811021,-1.605439,0.338623,0.887138,1.692226,0.216972,-0.451093,0.358822,0.500956,0.341212,-2.766563,-2.065521,-0.431938,0.105720,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
32,ANDRE AGASSI,MICHAEL STICH,1993,249,101736.000000,101529.000000,0.000000,-1.894905,-0.495197,2.833332,-0.820964,-1.880470,-1.480628,-1.057385,-0.648402,-1.513505,-1.460623,-1.615175,0.443000,1.068890,-0.990823,-0.055848,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
33,PETE SAMPRAS,STEFAN EDBERG,1993,249,101948.000000,101222.000000,0.000000,-0.439495,-1.886482,-0.664466,1.102813,2.212781,-0.034812,-0.356029,-0.823481,0.276659,1.416605,0.241711,-2.021712,-2.258471,0.167335,-0.213784,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,MICHAEL CHANG,ANDRE AGASSI,1993,249,102021.000000,101736.000000,0.000000,-0.814410,-0.481396,-1.604679,0.237285,0.055090,-0.668305,-1.371940,-1.743256,-1.954345,0.490779,-1.117232,-0.506270,-0.417320,0.980745,-0.449872,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,STEFAN EDBERG,MICHAEL CHANG,1993,249,101222.000000,102021.000000,0.000000,1.943074,1.991510,-1.098492,1.002199,-0.009170,0.911715,2.041697,2.831435,3.116199,-0.886558,1.991298,1.205713,0.654712,-0.319273,0.921104,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
36,TODD MARTIN,BORIS BECKER,1993,236,101774.000000,101414.000000,0.000000,1.241249,-0.797220,2.182545,-1.008781,-0.234819,-0.843729,1.398170,1.270238,0.522059,0.442038,0.917228,2.425469,2.323047,1.193708,0.454545,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
37,ANDRE AGASSI,MICHAEL CHANG,1993,236,101736.000000,102021.000000,0.000000,0.644590,0.712894,2.942218,-0.625412,-0.075520,0.237365,1.957974,2.479070,2.424721,-0.730906,1.305105,0.103436,0.422894,-1.320659,0.571429,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
38,HENRIK HOLM,PETR KORDA,1993,236,101510.000000,101434.000000,0.000000,-1.023095,-0.390170,0.739158,-0.086854,2.258438,4.610208,2.217432,-0.095781,1.004482,3.394196,2.406336,-1.599370,-1.096631,0.897235,0.407294,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
39,TODD MARTIN,ANDRE AGASSI,1993,236,101774.000000,101736.000000,0.000000,2.652080,0.108849,-0.736879,0.040671,1.208163,1.240836,1.396693,0.798222,1.027561,1.059658,1.040055,1.894893,0.983806,1.150898,0.428571,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40,IVAN LENDL,PETR KORDA,1993,236,100656.000000,101434.000000,0.000000,-0.317680,2.026013,-0.882745,0.404489,0.026327,-2.549207,-0.963023,-1.380551,-1.184187,0.539006,-0.789671,-0.408139,-0.459762,0.505092,-0.101136,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41,AMOS MANSDORF,ANDRE AGASSI,1993,256,101195.000000,101736.000000,0.000000,-0.644590,1.401265,-0.128642,0.071431,0.690109,0.650821,1.355466,0.392714,0.157696,2.288792,0.995258,0.795190,0.494015,0.692376,0.130784,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,IVAN LENDL,ANDRE AGASSI,1993,256,100656.000000,101736.000000,0.000000,1.189489,2.911379,-1.642418,0.508560,0.362326,-0.423554,-1.030849,-1.390940,-1.032100,-0.295448,-1.054404,0.536040,0.151502,0.429994,-0.156529,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,ANDRE AGASSI,ANDREI MEDVEDEV,1993,256,101736.000000,102446.000000,0.000000,-1.898495,1.071640,0.630778,-0.095134,-0.374703,-1.039659,-0.542703,0.593008,0.609718,-0.854709,-0.564193,-0.527532,-1.089004,0.230551,-0.213045,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,PETR KORDA,ANDREI MEDVEDEV,1993,256,101434.000000,102446.000000,0.000000,-0.487665,1.977708,-0.774871,0.288352,0.013404,0.843225,-0.886000,0.263397,0.508092,-1.470491,-0.986214,-0.232687,-1.030514,0.138080,-0.278461,1.000000,-1.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,TODD MARTIN,IVAN LENDL,1993,304,101774.000000,100656.000000,0.000000,1.523415,-3.213402,0.776390,-0.187217,1.647214,0.548750,5.151662,4.784881,4.455493,2.593448,3.714907,2.614704,1.368958,0.780898,0.604426,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,RICHEY RENEBERG,WAYNE FERREIRA,1993,304,101191.000000,101965.000000,0.000000,-0.692760,1.696387,0.411993,0.035618,-1.135397,-1.726262,0.124763,-0.670880,-1.622239,1.393398,-0.276376,2.672871,2.655916,-0.091237,-0.070284,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,MARK WOODFORDE,ANDREI MEDVEDEV,1993,304,101185.000000,102446.000000,0.000000,-0.689169,2.792551,2.508698,-0.696481,-0.232303,-0.128107,0.043651,0.471589,-0.044939,-0.397850,-0.925004,3.121839,1.811734,0.047964,-0.370528,1.000000,-1.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,TODD MARTIN,WAYNE FERREIRA,1993,304,101774.000000,101965.000000,0.000000,1.846735,0.186273,-0.885530,0.237633,0.558663,-1.648495,1.556050,2.376745,2.081318,0.464556,1.102873,2.498279,0.977059,1.009418,0.013049,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,PETR KORDA,MARK WOODFORDE,1993,304,101434.000000,101185.000000,0.000000,0.317680,-0.515899,-1.063032,0.136319,-0.578529,2.085282,-0.984367,-0.540796,-0.482758,-1.658353,-0.571812,-2.221009,-1.160791,-0.937359,-0.004809,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,PETR KORDA,WAYNE FERREIRA,1993,304,101434.000000,101965.000000,0.000000,0.740929,1.296238,-0.522398,0.074117,-1.296240,1.032372,-1.595095,-0.632703,-1.089581,-2.197369,-1.259504,0.608287,0.666384,-0.688747,-0.435079,1.000000,-1.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51,KAREL NOVACEK,ANDREI MEDVEDEV,1993,125,101120.000000,102446.000000,0.000000,-0.487665,2.581754,-1.101024,0.260829,0.749062,-2.126964,-0.794665,-0.095828,0.892309,0.525877,-0.390556,-2.247856,-3.662337,0.747552,-0.333333,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,SERGI BRUGUERA,ANDRE AGASSI,1993,125,101843.000000,101736.000000,0.000000,1.144910,-0.186273,1.533025,-0.588726,-0.091604,0.241302,1.862487,0.786214,0.160471,1.591021,0.555195,3.253191,3.426384,-0.429692,0.400000,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,THOMAS MUSTER,RICHARD KRAJICEK,1993,125,101404.000000,101990.000000,0.000000,-2.318154,1.598261,0.883757,-0.354097,-1.958308,-0.738359,0.043469,-1.129707,-2.179174,2.170799,-1.163474,4.066703,3.240368,-0.555837,0.111111,1.000000,-1.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,IVAN LENDL,ANDREI MEDVEDEV,1993,125,100656.000000,102446.000000,0.000000,-0.769831,4.091868,-1.533531,0.493089,2.378463,-2.126964,-0.709356,-0.095828,0.843896,1.826256,-1.769804,-1.724082,-5.028186,0.691870,-0.333333,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,THOMAS MUSTER,ANDREI MEDVEDEV,1993,125,101404.000000,102446.000000,0.000000,-1.898495,1.977708,-0.884770,0.241997,0.257655,-0.260551,-0.709356,-1.050960,-0.447104,2.940866,-0.981662,0.021831,-2.524129,0.543384,0.000000,1.000000,-1.000000,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,SERGI BRUGUERA,ANDREI MEDVEDEV,1993,125,101843.000000,102446.000000,0.000000,-0.769831,0.769617,-0.668516,0.198626,-0.011326,-1.193758,-0.618360,-0.020423,0.243581,0.117187,-1.218105,-0.362270,-1.545271,0.295411,0.066667,0.000000,0.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,ANDRE AGASSI,BRAD GILBERT,1993,61,101736.000000,100763.000000,0.000000,-0.766240,-2.307334,-1.280299,0.212539,-3.246240,-3.724824,-3.573531,1.922938,2.105018,-5.427048,0.160364,-11.205681,-9.734706,-1.595771,0.000000,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
58,ANDREI CHESNOKOV,CARLOS COSTA,1993,325,101230.000000,101475.000000,0.000000,0.737339,0.515899,-0.887555,0.153813,-1.267942,0.397586,-3.427276,-1.829837,-2.044180,-2.331032,-2.501788,0.885203,-0.215591,-1.349554,-0.435248,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,PETE SAMPRAS,CARLOS COSTA,1993,325,101948.000000,101475.000000,0.000000,0.314089,-1.296238,-3.590726,1.762516,1.364406,2.000428,-0.801237,0.427097,1.560688,-0.614361,0.414258,-0.653352,-2.175436,-0.460599,0.408175,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,TODD MARTIN,RICHEY RENEBERG,1993,325,101774.000000,101191.000000,0.000000,2.652080,-1.401265,-0.954652,0.148614,1.101054,-0.100459,2.328486,3.107389,3.296302,0.189497,1.836828,1.255211,-0.233940,1.101202,0.061538,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
61,ARNAUD BOETSCH,CARLOS COSTA,1993,325,101589.000000,101475.000000,0.000000,-0.031923,-0.206975,-0.411993,0.005814,-0.539206,1.205917,-1.344640,0.081905,-0.097920,-1.886172,-0.541048,-0.224115,-0.361686,-1.394869,0.141073,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
62,GORAN IVANISEVIC,TODD MARTIN,1993,325,101964.000000,101774.000000,0.000000,-0.641000,-0.186273,0.017477,-0.075967,0.569314,2.194800,-2.422469,-3.409540,-2.839838,0.448763,-1.385064,-2.029421,-0.842946,-0.967391,0.427350,1.000000,-1.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
63,MAGNUS GUSTAFSSON,MICHAEL STICH,1993,325,101320.000000,101529.000000,0.000000,-1.193080,0.508998,1.173438,-0.320759,-1.838764,-2.860380,-3.162572,-1.336762,-2.439438,-3.947359,-3.205936,-0.054639,0.745952,-0.675798,-0.166675,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
64,MARC ROSSET,JIM COURIER,1993,325,101820.000000,101793.000000,0.000000,2.398815,0.108849,2.507179,-1.560422,0.168200,0.397454,-1.877151,-1.867389,-2.120393,-1.650958,-2.498247,0.518744,1.134418,-1.070532,-0.965438,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
65,GORAN IVANISEVIC,ARNAUD BOETSCH,1993,325,101964.000000,101589.000000,0.000000,1.475246,-0.790319,-0.847538,0.172843,1.668317,1.178079,-0.952597,-1.970209,-1.289152,1.156794,-0.852902,-0.083095,-0.419248,-0.356696,0.312567,1.000000,-1.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
66,STEFAN EDBERG,MICHAEL STICH,1993,325,101222.000000,101529.000000,0.000000,-0.769831,0.811021,-0.232211,0.370886,-1.512788,-1.508844,-0.517835,0.666827,-0.006577,-1.697648,-0.330125,0.297772,0.589017,0.316375,0.197858,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
