,PlayerA_name,PlayerB_name,tourney_date,PlayerA_id,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,best_of,minutes,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_12.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,PlayerA_hand_L,PlayerA_hand_R,PlayerB_hand_L,PlayerB_hand_R,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
18857,ANDREI MEDVEDEV,GREG RUSEDSKI,19970711,102446,193,23,17,1654,102257,193,24,24,1433,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
18858,ANDREI MEDVEDEV,TIM HENMAN,19970711,102446,193,23,17,1654,102450,185,23,20,1584,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
18964,JIM COURIER,JAN SIEMERINK,19970404,101793,185,27,17,1452,101733,183,27,22,1388,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
18965,ANDRE AGASSI,JAN SIEMERINK,19970404,101736,180,27,29,1262,101733,183,27,22,1388,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
19003,WAYNE FERREIRA,JONAS BJORKMAN,19970404,101965,185,26,10,1940,102035,183,25,23,1337,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19004,WAYNE FERREIRA,THOMAS ENQVIST,19970404,101965,185,26,10,1940,102358,190,23,7,2312,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19012,THOMAS ENQVIST,MARC ROSSET,19970207,102358,190,23,10,2104,101820,201,26,23,1420,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19014,JONAS BJORKMAN,MICHAEL CHANG,19971128,102035,183,26,4,2949,102021,175,26,3,3189,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19015,MAGNUS LARSSON,PETE SAMPRAS,19971128,101723,193,28,25,1376,101948,185,26,1,4547,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19017,MAGNUS LARSSON,MICHAEL CHANG,19971128,101723,193,28,25,1376,102021,175,26,3,3189,3,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19030,KAROL KUCERA,SERGI BRUGUERA,19980119,102344,188,24,20,1569,101843,188,27,12,2280,5,107,11,8,115,59,47,22,14,5,8,1,3,77,42,29,17,15,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
19113,MARCELO RIOS,THOMAS ENQVIST,19980119,102701,175,22,8,2446,102358,190,24,26,1355,5,162,8,8,142,91,68,25,21,3,6,11,4,153,99,70,25,21,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
19116,ALBERTO BERASATEGUI,ANDREI MEDVEDEV,19980119,102238,173,25,25,1427,102446,193,23,24,1437,5,112,1,10,113,73,49,10,16,5,11,4,7,114,60,38,18,16,7,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
