,PlayerA_name,PlayerB_name,tourney_date,PlayerA_id,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,best_of,minutes,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_12.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,PlayerA_hand_L,PlayerA_hand_R,PlayerB_hand_L,PlayerB_hand_R,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
29,ANDREI CHESNOKOV,MAGNUS GUSTAFSSON,19930802,101230,188,27,31,988,101320,185,27,24,1138,3,86,0,1,56,24,13,19,8,4,6,2,1,49,29,18,5,7,2,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
30,SERGI BRUGUERA,ANDREI CHESNOKOV,19930802,101843,188,23,5,2531,101230,188,27,31,988,3,120,3,1,62,22,15,26,11,2,4,0,4,76,28,16,25,11,6,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
61,PETE SAMPRAS,CEDRIC PIOLINE,19931018,101948,185,22,1,3925,101611,188,24,10,1954,3,145,10,2,111,61,42,24,15,8,12,6,1,103,57,43,23,16,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
134,BORIS BECKER,ALEXANDER VOLKOV,19930621,101414,190,26,4,2600,101334,188,26,20,1372,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
147,HENRIK HOLM,MARK WOODFORDE,19930621,101510,183,25,19,1447,101185,188,28,22,1225,5,109,24,6,147,88,80,26,19,2,3,1,6,137,88,61,26,19,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
150,ARNAUD BOETSCH,IVAN LENDL,19930621,101589,183,24,24,1123,100656,188,33,7,2262,5,109,15,4,133,93,82,21,21,3,4,12,11,149,84,65,28,20,9,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
153,CEDRIC PIOLINE,ANDREI MEDVEDEV,19930621,101611,188,24,23,1219,102446,193,19,9,2020,5,109,13,4,160,112,92,23,22,1,2,14,16,174,91,69,37,21,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
157,STEFAN EDBERG,AMOS MANSDORF,19930621,101222,188,27,3,3055,101195,175,28,28,968,5,109,5,3,88,60,41,17,15,1,4,5,4,97,49,25,26,14,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
166,TODD MARTIN,GORAN IVANISEVIC,19930621,101774,198,23,30,956,101964,193,22,6,2431,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
168,WAYNE FERREIRA,HENRIK HOLM,19930621,101965,185,22,16,1537,101510,183,25,19,1447,5,109,8,4,106,71,61,17,15,5,5,7,13,125,48,42,32,16,8,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
170,WALLY MASUR,ARNAUD BOETSCH,19930621,100923,180,30,21,1300,101589,183,24,24,1123,5,109,8,5,198,129,98,35,27,11,13,12,11,203,124,93,35,26,6,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
175,ANDRE AGASSI,RICHARD KRAJICEK,19930621,101736,180,23,13,1693,101990,196,22,12,1855,5,109,8,3,150,92,63,37,18,8,10,21,8,150,92,77,24,18,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
177,MICHAEL STICH,PETR KORDA,19930621,101529,193,25,8,2105,101434,190,25,10,1964,5,109,19,11,162,94,80,29,17,7,8,5,6,116,71,53,24,17,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
179,JIM COURIER,WAYNE FERREIRA,19930621,101793,185,23,2,3385,101965,185,22,16,1537,5,109,12,7,165,101,79,30,22,4,7,18,9,173,106,83,28,22,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
180,CEDRIC PIOLINE,WALLY MASUR,19930621,101611,188,24,23,1219,100923,180,30,21,1300,5,109,10,8,177,114,83,34,26,3,7,13,9,201,113,83,40,26,15,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
182,PETE SAMPRAS,ANDRE AGASSI,19930621,101948,185,22,1,3880,101736,180,23,13,1693,5,109,23,6,154,102,87,20,22,7,11,7,7,164,92,69,26,22,7,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
183,BORIS BECKER,MICHAEL STICH,19930621,101414,190,26,4,2600,101529,193,25,8,2105,5,28,15,10,218,130,109,40,27,9,9,21,12,212,120,98,39,27,6,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
184,JIM COURIER,TODD MARTIN,19930621,101793,185,23,2,3385,101774,198,23,30,956,5,109,2,5,102,53,44,28,15,2,2,10,7,114,66,51,21,14,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
185,STEFAN EDBERG,CEDRIC PIOLINE,19930621,101222,188,27,3,3055,101611,188,24,23,1219,5,109,8,5,122,80,62,18,17,3,5,5,6,117,73,50,18,16,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
186,PETE SAMPRAS,BORIS BECKER,19930621,101948,185,22,1,3880,101414,190,26,4,2600,5,109,11,7,121,74,65,23,16,6,6,13,12,122,62,57,23,16,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
187,JIM COURIER,STEFAN EDBERG,19930621,101793,185,23,2,3385,101222,188,27,3,3055,5,109,5,5,121,70,55,23,19,2,6,5,8,146,93,66,14,19,7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
188,PETE SAMPRAS,JIM COURIER,19930621,101948,185,22,1,3880,101793,185,23,2,3385,5,109,22,7,149,97,84,30,21,0,2,8,6,149,83,65,35,21,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
214,RICHARD KRAJICEK,ALEXANDER VOLKOV,19930802,101990,196,22,10,1888,101334,188,26,16,1410,3,66,10,3,52,33,27,10,9,2,2,2,3,47,21,14,13,8,3,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
217,RICHARD KRAJICEK,PETE SAMPRAS,19930802,101990,196,22,10,1888,101948,185,22,1,4197,3,112,10,2,83,46,35,27,15,0,1,9,4,87,57,47,17,16,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
219,RICHARD KRAJICEK,MICHAEL CHANG,19930802,101990,196,22,10,1888,102021,175,21,9,1914,3,159,8,4,101,59,40,26,15,5,8,4,1,108,78,53,21,15,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
234,ANDRE AGASSI,TODD MARTIN,19930809,101736,180,23,28,1058,101774,198,23,14,1526,3,123,2,2,89,63,47,18,16,2,3,22,2,92,54,39,20,14,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
246,ANDREI MEDVEDEV,WALLY MASUR,19930809,102446,193,19,12,1836,100923,180,30,23,1160,3,76,6,4,56,28,23,15,9,7,8,5,0,57,34,19,12,10,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
253,ANDRE AGASSI,RICHEY RENEBERG,19930809,101736,180,23,28,1058,101191,180,28,32,966,3,75,4,2,59,34,23,14,9,3,5,6,1,60,26,14,13,8,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
254,MARK WOODFORDE,CEDRIC PIOLINE,19930809,101185,188,28,25,1099,101611,188,24,17,1370,3,107,5,3,80,43,32,21,10,7,7,4,4,73,47,32,13,10,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
255,MICHAEL STICH,AMOS MANSDORF,19930809,101529,193,25,6,2327,101195,175,28,24,1136,3,68,5,2,45,28,23,12,8,2,2,4,6,71,44,28,11,9,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
262,STEFAN EDBERG,WAYNE FERREIRA,19930809,101222,188,28,3,3230,101965,185,22,18,1352,3,62,1,2,50,30,26,12,9,4,5,2,2,49,27,20,7,9,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
265,MICHAEL STICH,MARK WOODFORDE,19930809,101529,193,25,6,2327,101185,188,28,25,1099,3,71,5,4,46,20,13,15,9,0,3,3,2,62,35,19,10,9,5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
270,ANDRE AGASSI,MICHAEL STICH,19930809,101736,180,23,28,1058,101529,193,25,6,2327,3,80,1,1,56,41,29,9,9,1,2,5,9,84,32,21,21,8,14,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
272,STEFAN EDBERG,PETE SAMPRAS,19930809,101222,188,28,3,3230,101948,185,22,1,4197,3,165,5,5,133,87,59,30,18,9,10,25,16,126,57,51,35,18,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
273,MICHAEL CHANG,ANDRE AGASSI,19930809,102021,175,21,9,1982,101736,180,23,28,1058,3,136,4,1,93,49,34,20,16,2,7,2,0,91,66,43,15,15,7,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
274,MICHAEL CHANG,STEFAN EDBERG,19930809,102021,175,21,9,1982,101222,188,28,3,3230,3,122,3,3,84,57,39,15,14,4,7,1,4,82,59,39,15,14,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
317,TODD MARTIN,BORIS BECKER,19930726,101774,198,23,20,1263,101414,190,26,4,2786,3,134,4,0,89,58,45,14,12,3,4,6,3,87,47,34,21,12,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
318,ANDRE AGASSI,MICHAEL CHANG,19930726,101736,180,23,31,947,102021,175,21,8,1914,3,110,1,2,76,38,24,19,10,8,12,2,2,68,30,19,16,11,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
319,PETR KORDA,HENRIK HOLM,19930726,101434,190,26,11,1809,101510,183,25,22,1212,3,65,0,2,46,27,22,10,8,0,1,3,4,49,23,14,9,9,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
324,TODD MARTIN,ANDRE AGASSI,19930726,101774,198,23,20,1263,101736,180,23,31,947,3,94,3,0,71,50,34,12,10,6,7,0,7,67,37,24,15,11,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
325,PETR KORDA,IVAN LENDL,19930726,101434,190,26,11,1809,100656,188,33,7,2073,3,81,8,2,56,33,28,14,9,2,2,1,0,72,47,33,8,10,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
376,ANDRE AGASSI,AMOS MANSDORF,19930816,101736,180,23,22,1226,101195,175,28,25,1120,3,68,4,1,52,30,20,18,9,0,0,6,2,50,32,21,7,8,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
381,ANDRE AGASSI,IVAN LENDL,19930816,101736,180,23,22,1226,100656,188,33,11,1886,3,84,10,3,69,40,30,15,10,6,7,7,2,53,24,20,11,9,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
383,ANDREI MEDVEDEV,ANDRE AGASSI,19930816,102446,193,19,12,1854,101736,180,23,22,1226,3,126,23,2,101,63,49,20,16,8,10,5,6,103,65,48,20,15,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
384,ANDREI MEDVEDEV,PETR KORDA,19930816,102446,193,19,12,1854,101434,190,26,9,1898,3,80,4,1,64,33,24,18,11,2,4,1,3,66,39,23,14,11,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
397,TODD MARTIN,IVAN LENDL,19931004,101774,198,23,18,1384,100656,188,34,15,1423,3,154,7,3,115,65,48,27,16,4,5,7,3,94,46,38,30,16,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
398,WAYNE FERREIRA,RICHEY RENEBERG,19931004,101965,185,22,22,1183,101191,180,28,30,1030,3,73,8,3,70,42,31,12,9,5,6,4,1,57,32,23,8,9,2,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
406,MARK WOODFORDE,ANDREI MEDVEDEV,19931004,101185,188,28,27,1074,102446,193,19,8,2119,3,67,1,0,47,32,24,10,9,1,2,5,4,55,24,20,9,9,2,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
407,WAYNE FERREIRA,TODD MARTIN,19931004,101965,185,22,22,1183,101774,198,23,18,1384,3,96,6,1,80,54,41,13,12,4,6,3,0,68,44,30,12,12,3,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
411,PETR KORDA,MARK WOODFORDE,19931004,101434,190,26,13,1728,101185,188,28,27,1074,3,76,3,2,48,32,26,10,9,0,0,2,1,72,45,29,12,8,15,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
414,PETR KORDA,WAYNE FERREIRA,19931004,101434,190,26,13,1728,101965,185,22,22,1183,3,62,1,1,50,31,25,10,9,0,1,4,4,59,34,20,10,8,7,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
493,ANDREI MEDVEDEV,KAREL NOVACEK,19930405,102446,193,19,19,1414,101120,190,28,13,1571,3,60,3,2,53,31,21,15,8,3,3,1,2,53,25,15,13,8,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
495,SERGI BRUGUERA,ANDRE AGASSI,19930405,101843,188,22,17,1462,101736,180,23,7,2176,3,70,2,0,47,24,22,13,8,3,3,0,3,54,27,15,11,8,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
497,THOMAS MUSTER,RICHARD KRAJICEK,19930405,101404,180,26,15,1538,101990,196,21,11,1813,3,107,1,1,82,64,45,10,14,4,6,7,4,76,37,32,20,14,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
498,ANDREI MEDVEDEV,IVAN LENDL,19930405,102446,193,19,19,1414,100656,188,33,9,1978,3,116,7,3,79,37,28,20,10,7,10,2,4,88,51,30,15,10,15,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
500,ANDREI MEDVEDEV,THOMAS MUSTER,19930405,102446,193,19,19,1414,101404,180,26,15,1538,3,65,4,2,63,37,29,11,10,1,2,1,1,46,31,17,11,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
501,ANDREI MEDVEDEV,SERGI BRUGUERA,19930405,102446,193,19,19,1414,101843,188,22,17,1462,5,163,8,4,150,84,60,37,22,4,7,4,4,125,80,56,20,21,7,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
532,ANDRE AGASSI,BRAD GILBERT,19930201,101736,180,23,9,1852,100763,185,31,25,1019,3,142,0,2,81,68,51,6,14,0,2,10,6,112,58,42,19,14,10,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
533,CARLOS COSTA,ANDREI CHESNOKOV,19931025,101475,183,26,30,965,101230,188,28,26,1099,3,64,1,0,50,27,22,15,9,2,2,4,2,52,26,18,13,9,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
549,CARLOS COSTA,PETE SAMPRAS,19931025,101475,183,26,30,965,101948,185,22,1,3918,3,117,11,0,94,60,45,11,14,9,13,8,7,90,53,37,14,13,4,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
551,TODD MARTIN,RICHEY RENEBERG,19931025,101774,198,23,14,1631,101191,180,28,27,991,3,70,9,0,47,34,25,9,9,2,3,1,1,58,28,17,14,9,3,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
565,ARNAUD BOETSCH,CARLOS COSTA,19931025,101589,183,25,22,1195,101475,183,26,30,965,3,138,6,1,100,55,42,24,15,5,7,4,1,96,55,34,22,13,9,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
566,GORAN IVANISEVIC,TODD MARTIN,19931025,101964,193,22,10,2020,101774,198,23,14,1631,3,63,14,4,49,27,25,12,9,0,0,3,0,55,37,23,8,9,5,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
570,MICHAEL STICH,MAGNUS GUSTAFSSON,19931025,101529,193,25,4,2598,101320,185,27,19,1302,3,95,10,4,73,38,31,22,11,2,2,2,0,69,40,26,22,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
572,MARC ROSSET,JIM COURIER,19931025,101820,201,23,21,1273,101793,185,23,2,3759,3,157,24,6,115,72,64,17,17,2,2,8,2,107,70,54,20,16,6,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
573,GORAN IVANISEVIC,ARNAUD BOETSCH,19931025,101964,193,22,10,2020,101589,183,25,22,1195,3,63,13,2,45,24,20,13,8,0,0,4,5,58,32,21,8,8,3,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
575,MICHAEL STICH,STEFAN EDBERG,19931025,101529,193,25,4,2598,101222,188,28,6,2514,3,115,11,2,90,50,38,14,13,5,9,2,5,83,51,30,15,12,10,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
576,MARC ROSSET,PETR KORDA,19931025,101820,201,23,21,1273,101434,190,26,13,1775,3,100,7,3,77,44,35,14,11,4,6,2,9,78,48,33,14,11,6,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
578,MICHAEL STICH,MARC ROSSET,19931025,101529,193,25,4,2598,101820,201,23,21,1273,3,92,9,0,72,41,32,19,11,4,4,13,1,74,48,34,13,11,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
579,MICHAEL STICH,GORAN IVANISEVIC,19931025,101529,193,25,4,2598,101964,193,22,10,2020,5,157,15,5,136,90,71,27,21,0,1,30,10,136,72,60,35,21,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
613,TODD MARTIN,PETR KORDA,19931011,101774,198,23,16,1416,101434,190,26,13,1841,3,67,7,1,55,40,34,8,9,4,4,2,4,56,38,27,5,9,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
614,MICHAEL CHANG,MARK WOODFORDE,19931011,102021,175,22,7,2200,101185,188,28,24,1148,3,131,8,1,80,52,39,14,13,6,8,1,2,84,47,31,14,13,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
618,IVAN LENDL,ALEXANDER VOLKOV,19931011,100656,188,34,18,1382,101334,188,27,14,1538,3,121,22,1,86,55,48,14,15,1,3,8,4,101,55,35,26,15,8,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
620,TODD MARTIN,STEFAN EDBERG,19931011,101774,198,23,16,1416,101222,188,28,6,2503,3,100,9,1,76,45,33,15,10,4,5,3,6,68,41,28,11,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
623,IVAN LENDL,BORIS BECKER,19931011,100656,188,34,18,1382,101414,190,26,3,2617,3,122,19,3,99,62,45,20,14,5,7,20,6,86,49,44,15,14,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
626,IVAN LENDL,TODD MARTIN,19931011,100656,188,34,18,1382,101774,198,23,16,1416,3,90,11,1,60,35,31,14,10,3,3,11,0,71,50,36,7,10,5,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
714,HENRIK HOLM,ARNAUD BOETSCH,19930201,101510,183,24,19,1197,101589,183,24,22,1095,3,99,8,12,73,25,24,25,13,1,3,6,5,72,34,23,20,12,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
781,MICHAEL CHANG,CARL UWE STEEB,19930111,102021,175,21,6,2277,101391,180,25,31,899,3,122,5,1,76,36,24,22,12,5,8,2,0,75,43,24,13,11,6,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
808,KAREL NOVACEK,ANDREI CHERKASOV,19930201,101120,190,28,23,1092,101772,180,23,29,925,3,147,10,1,108,68,52,17,16,5,8,1,0,98,59,37,21,16,5,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
811,KAREL NOVACEK,THOMAS MUSTER,19930201,101120,190,28,23,1092,101404,180,25,18,1307,3,81,5,0,55,32,25,14,11,1,3,6,2,68,32,23,16,11,7,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
813,PETE SAMPRAS,THOMAS MUSTER,19931207,101948,185,22,1,4128,101404,180,26,9,2033,3,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
