,Year,Day,PlayerA_id,PlayerA_name,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_name,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerA_minutes,PlayerA_bestof,PlayerA_hand_L,PlayerA_hand_R,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerB_minutes,PlayerB_bestof,PlayerA_hand_L,PlayerA_hand_R,best_of,minutes,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
10,1993,249,101185,MARK WOODFORDE,188,28,25,1099,101611,CEDRIC PIOLINE,188,24,17,1370,5.552000,2.157333,78.998667,47.466000,30.565333,14.816667,11.090000,8.238000,12.167333,104.800000,3.000000,1,0,4.523340,2.968405,89.752780,48.731454,34.073147,19.611678,13.299510,5.128088,8.725777,117.700000,3.200000,1,0,3,107,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
11,1993,249,101529,MICHAEL STICH,193,25,6,2327,101195,AMOS MANSDORF,175,28,24,1136,10.703782,5.171866,92.351744,51.461106,39.567623,20.980891,14.076599,3.788058,6.552723,101.380952,3.285714,0,1,4.844067,2.700806,92.167792,52.182011,34.750960,21.405186,13.118024,6.017407,8.812827,104.028706,3.000000,0,1,3,68,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
12,1993,249,101222,STEFAN EDBERG,188,28,3,3230,101965,WAYNE FERREIRA,185,22,18,1352,0.919952,3.341973,72.754365,43.964378,31.549733,13.213527,10.975888,4.957711,7.474560,109.000000,3.333333,0,1,5.821488,3.595326,72.351941,37.042325,27.484781,16.427349,10.854599,4.427445,7.072555,96.700000,3.200000,0,1,3,62,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13,1993,249,101529,MICHAEL STICH,193,25,6,2327,101185,MARK WOODFORDE,188,28,25,1099,10.831683,5.176649,92.809962,51.736606,39.767838,21.081455,14.135377,3.779100,6.563312,101.380952,3.285714,0,1,5.502400,2.068800,79.238400,48.079200,30.718400,14.580000,11.108000,8.445600,12.480800,104.800000,3.000000,0,1,3,71,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,1993,249,101736,ANDRE AGASSI,180,23,28,1058,101529,MICHAEL STICH,193,25,6,2327,1.725501,2.071030,63.024012,42.932239,30.622335,9.402128,10.526147,2.180307,4.653619,93.888756,3.000000,0,1,10.958832,5.174695,93.204447,51.985145,39.949554,21.171231,14.185974,3.765233,6.564586,101.380952,3.285714,0,1,3,80,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
15,1993,249,101222,STEFAN EDBERG,188,28,3,3230,101948,PETE SAMPRAS,185,22,1,4197,0.899392,3.328804,71.983896,43.260021,31.144156,13.064655,10.855823,4.898631,7.416885,109.000000,3.333333,0,1,9.218442,4.907481,73.596501,41.449554,32.965984,15.926753,11.447912,4.174774,5.680580,110.306667,3.429144,0,1,3,165,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
16,1993,249,102021,MICHAEL CHANG,175,21,9,1982,101736,ANDRE AGASSI,180,23,28,1058,3.722624,1.994500,69.683853,35.430077,23.259695,17.963525,10.667564,4.489365,7.317476,118.969848,3.000000,0,1,1.726925,2.057685,62.881905,43.112477,30.865244,9.205130,10.541274,2.056207,4.494337,93.888756,3.000000,0,1,3,136,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
17,1993,249,102021,MICHAEL CHANG,175,21,9,1982,101222,STEFAN EDBERG,188,28,3,3230,3.768016,1.956160,69.463650,35.222181,23.109705,18.034805,10.611525,4.545987,7.324558,118.969848,3.000000,0,1,0.875962,3.304121,70.926998,42.341296,30.632442,12.882543,10.702026,4.823054,7.332412,109.000000,3.333333,0,1,3,122,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
18,1993,236,101774,TODD MARTIN,198,23,20,1263,101414,BORIS BECKER,190,26,4,2786,6.203125,2.593750,91.875000,57.843750,41.062500,16.828125,13.781250,6.562500,9.125000,120.250000,3.000000,0,1,8.617818,3.681554,62.237413,36.017998,29.357500,12.429378,9.785192,2.908300,3.849542,88.777778,3.222222,0,1,3,134,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
19,1993,236,101736,ANDRE AGASSI,180,23,31,947,102021,MICHAEL CHANG,175,21,8,1914,1.687707,2.008341,62.686427,43.948801,31.795335,8.614674,10.613411,1.683123,4.006365,89.142857,3.000000,0,1,3.846148,1.884129,69.300084,34.985437,22.949213,18.169996,10.568810,4.618877,7.338546,112.211101,3.000000,0,1,3,110,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
20,1993,236,101434,PETR KORDA,190,26,11,1809,101510,HENRIK HOLM,183,25,22,1212,3.596357,5.157592,69.735386,44.008871,31.725198,10.560536,11.188128,3.442410,6.704390,86.266667,3.000000,1,0,9.168991,7.554607,68.086435,34.831150,27.699036,16.541426,11.300029,1.645728,3.723678,103.387593,3.253562,1,0,3,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
21,1993,236,101774,TODD MARTIN,198,23,20,1263,101736,ANDRE AGASSI,180,23,31,947,6.441406,2.867188,93.093750,58.429688,41.328125,17.222656,14.101562,6.703125,9.406250,120.250000,3.000000,0,1,1.683909,1.907492,62.804896,44.900671,32.684465,8.233097,10.721449,1.433773,3.660336,89.142857,3.000000,0,1,3,94,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
22,1993,236,101434,PETR KORDA,190,26,11,1809,100656,IVAN LENDL,188,33,7,2073,3.636114,5.181432,69.891078,44.120574,31.831323,10.531238,11.249558,3.414126,6.715794,86.266667,3.000000,1,0,6.796116,1.245877,69.756227,40.686881,29.672551,15.657375,9.966552,4.055576,5.381155,97.833333,3.000000,1,0,3,81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
23,1993,256,101736,ANDRE AGASSI,180,23,22,1226,101195,AMOS MANSDORF,175,28,25,1120,1.921418,2.021956,63.314693,43.730927,31.490684,9.192738,10.614471,2.037182,4.339713,93.611573,3.000000,0,1,4.866653,2.636824,91.730335,51.944551,34.617479,21.305299,13.094489,5.924727,8.705055,98.710715,3.000000,0,1,3,68,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,1993,256,101736,ANDRE AGASSI,180,23,22,1226,100656,IVAN LENDL,188,33,11,1886,1.849796,1.990341,63.265830,43.999238,31.737039,8.996659,10.640635,1.935196,4.238113,93.611573,3.000000,0,1,6.831619,1.257711,69.643801,40.550787,29.595628,15.675127,9.960635,4.037824,5.363404,96.769231,3.000000,0,1,3,84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,1993,256,102446,ANDREI MEDVEDEV,193,19,12,1854,101736,ANDRE AGASSI,180,23,22,1226,3.956876,2.772035,74.386909,41.673103,28.990556,14.506964,11.919803,4.096735,8.061406,97.196446,3.319689,0,1,1.778592,1.948935,63.151764,44.235412,31.959630,8.817755,10.662248,1.808104,4.099619,93.611573,3.000000,0,1,3,126,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,1993,256,102446,ANDREI MEDVEDEV,193,19,12,1854,101434,PETR KORDA,190,26,9,1898,3.915813,2.780014,74.205450,41.579805,28.910378,14.381060,11.895735,4.101725,8.099979,97.196446,3.319689,0,1,3.611986,5.199927,69.948098,44.194148,31.822960,10.528228,11.245434,3.424983,6.736323,85.942073,3.000000,0,1,3,80,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27,1993,304,101774,TODD MARTIN,198,23,18,1384,100656,IVAN LENDL,188,34,15,1423,6.516653,2.672204,92.466090,57.750608,40.972538,17.205826,13.990664,6.402145,9.066214,122.000000,3.000000,0,1,6.759476,1.267811,69.721817,40.554401,29.584054,15.724940,9.984394,4.024879,5.365270,100.940007,3.000000,0,1,3,154,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,1993,304,101965,WAYNE FERREIRA,185,22,22,1183,101191,RICHEY RENEBERG,180,28,30,1030,5.957460,3.624344,72.541006,37.542409,27.776663,16.555011,10.894544,4.353780,6.934226,91.228175,3.143471,0,1,4.388889,1.555556,61.888889,30.277778,17.222222,13.833333,8.666667,5.333333,9.666667,79.666667,3.000000,0,1,3,73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,1993,304,101185,MARK WOODFORDE,188,28,27,1074,102446,ANDREI MEDVEDEV,193,19,8,2119,5.415241,2.039927,78.633651,47.639041,30.817468,14.627977,11.024390,8.544048,12.369876,94.150183,3.000000,1,0,3.920853,2.787603,74.315528,41.613903,28.934655,14.427739,11.904521,4.099270,8.094082,95.891718,3.310183,1,0,3,67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,1993,304,101965,WAYNE FERREIRA,185,22,22,1183,101774,TODD MARTIN,198,23,18,1384,5.921927,3.626962,72.546871,37.390621,27.678587,16.556363,10.891584,4.387088,6.993593,91.228175,3.143471,0,1,6.561634,2.768743,92.767368,58.070592,41.161472,17.194158,14.072494,6.497349,9.206285,122.000000,3.000000,0,1,3,96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,1993,304,101434,PETR KORDA,190,26,13,1728,101185,MARK WOODFORDE,188,28,27,1074,3.519532,5.213136,69.545646,43.878724,31.527098,10.520077,11.150482,3.460909,6.747512,82.181537,3.000000,1,0,5.461496,2.043363,79.264454,48.143098,30.937319,14.636507,11.066854,8.659720,12.578218,94.150183,3.000000,1,0,3,76,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,1993,304,101434,PETR KORDA,190,26,13,1728,101965,WAYNE FERREIRA,185,22,22,1183,3.568967,5.222532,69.734774,44.016944,31.661126,10.513494,11.202031,3.442320,6.752234,82.181537,3.000000,1,0,5.893597,3.626071,72.537694,37.242773,27.585213,16.529299,10.876246,4.429742,7.056505,91.228175,3.143471,1,0,3,62,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,1993,125,102446,ANDREI MEDVEDEV,193,19,19,1414,101120,KAREL NOVACEK,190,28,13,1571,4.198020,2.732448,73.636651,41.559536,29.254639,13.610350,11.862500,4.204876,8.262553,92.777778,3.222222,0,1,5.863333,0.706667,74.143333,44.713333,34.076667,14.706667,12.430000,2.706667,5.266667,90.200000,3.000000,0,1,3,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,1993,125,101843,SERGI BRUGUERA,188,22,17,1462,101736,ANDRE AGASSI,180,23,7,2176,2.935185,2.422840,78.679012,46.419753,31.950617,14.322531,11.362654,5.169753,8.750000,93.666667,3.333333,0,1,1.656667,1.705556,63.422222,46.634444,34.240000,7.766667,10.920000,1.115556,3.196667,84.000000,3.000000,0,1,3,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
