PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA_Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Pierre Hugues Herbert,Stefanos Tsitsipas,2018.0,264.0,3.0,28.0,0.0,101.0,0.0,0.0,0.0,0.0,1.0,1.0,27.5017111567,0.0,0.0,4.0,1.0,68.0,34.0,27.0,19.0,11.0,1.0,2.0,20.098562628299998,0.0,0.0,2.0,5.0,69.0,37.0,27.0,14.0,10.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
Jiri Vesely,Evgeny Donskoy,2018.0,264.0,3.0,28.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,25.1882272416,0.0,0.0,2.0,8.0,73.0,38.0,29.0,20.0,11.0,2.0,3.0,28.3586584531,0.0,0.0,4.0,2.0,62.0,36.0,28.0,12.0,10.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
Karen Khachanov,Sam Querrey,2018.0,264.0,3.0,28.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,22.3244353183,0.0,0.0,7.0,2.0,59.0,37.0,33.0,9.0,10.0,2.0,3.0,30.8884325804,0.0,0.0,3.0,7.0,62.0,28.0,21.0,16.0,10.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0
Nikoloz Basilashvili,Jack Sock,2018.0,264.0,3.0,28.0,0.0,154.0,0.0,0.0,0.0,0.0,1.0,1.0,26.5653661875,0.0,0.0,12.0,9.0,118.0,67.0,52.0,24.0,16.0,9.0,10.0,25.921971252600002,0.0,0.0,10.0,7.0,109.0,50.0,40.0,31.0,16.0,9.0,13.0,1.0,0.0,0.0,0.0,1.0
Feliciano Lopez,Borna Coric,2018.0,264.0,3.0,28.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,1.0,36.933607118400005,0.0,0.0,19.0,6.0,106.0,53.0,48.0,25.0,18.0,3.0,6.0,21.782340862399998,0.0,0.0,5.0,4.0,111.0,68.0,51.0,19.0,18.0,7.0,11.0,1.0,0.0,0.0,0.0,1.0
Cameron Norrie,Borna Coric,2018.0,264.0,3.0,28.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0116358658,0.0,0.0,14.0,4.0,87.0,56.0,44.0,14.0,11.0,9.0,11.0,21.782340862399998,0.0,0.0,5.0,7.0,93.0,56.0,37.0,19.0,11.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0
Matteo Berrettini,Leonardo Mayer,2018.0,264.0,3.0,28.0,0.0,76.0,0.0,0.0,0.0,0.0,1.0,1.0,22.431211499,0.0,0.0,4.0,4.0,50.0,31.0,25.0,11.0,8.0,5.0,5.0,31.285420944600002,0.0,0.0,3.0,4.0,55.0,36.0,23.0,6.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0
Kyle Edmund,Peter Gojowczyk,2018.0,264.0,3.0,28.0,0.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0,23.633127994499997,0.0,0.0,13.0,2.0,76.0,46.0,32.0,15.0,12.0,2.0,5.0,29.1745379877,0.0,0.0,6.0,3.0,65.0,34.0,23.0,9.0,12.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0
Fabio Fognini,Andrey Rublev,2018.0,264.0,3.0,28.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,1.0,31.318275154000002,0.0,0.0,7.0,0.0,54.0,39.0,29.0,10.0,9.0,3.0,3.0,20.9089664613,0.0,0.0,4.0,1.0,49.0,25.0,20.0,11.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
Dusan Lajovic,Vasek Pospisil,2018.0,264.0,3.0,28.0,0.0,127.0,0.0,0.0,0.0,0.0,1.0,1.0,28.158795345700003,0.0,0.0,0.0,1.0,74.0,54.0,36.0,14.0,14.0,0.0,3.0,28.1779603012,0.0,0.0,8.0,5.0,102.0,61.0,43.0,19.0,14.0,9.0,12.0,1.0,0.0,0.0,0.0,1.0
Alex De Minaur,Damir Dzumhur,2018.0,264.0,3.0,28.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0,19.523613963,0.0,0.0,4.0,2.0,75.0,53.0,36.0,12.0,11.0,0.0,2.0,26.3271731691,0.0,0.0,0.0,1.0,64.0,36.0,23.0,13.0,10.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0
Radu Albot,Mikhail Kukushkin,2018.0,264.0,3.0,28.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,1.0,28.848733744,0.0,0.0,5.0,1.0,47.0,29.0,22.0,10.0,9.0,0.0,2.0,30.726899384,0.0,0.0,1.0,2.0,60.0,34.0,18.0,11.0,9.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0
Marton Fucsovics,Andreas Seppi,2018.0,264.0,3.0,28.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,26.606433949299998,0.0,0.0,5.0,1.0,64.0,38.0,26.0,10.0,9.0,3.0,6.0,34.5133470226,0.0,0.0,1.0,5.0,73.0,33.0,18.0,16.0,10.0,6.0,12.0,1.0,0.0,0.0,0.0,1.0
Andy Murray,David Goffin,2018.0,264.0,3.0,28.0,0.0,96.0,0.0,0.0,0.0,0.0,1.0,1.0,31.285420944600002,0.0,0.0,15.0,3.0,70.0,43.0,30.0,9.0,10.0,7.0,10.0,27.720739219699997,0.0,0.0,1.0,2.0,53.0,37.0,23.0,4.0,9.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0
Marco Cecchinato,Marcos Baghdatis,2018.0,264.0,3.0,28.0,0.0,107.0,0.0,0.0,0.0,0.0,1.0,1.0,25.9630390144,0.0,0.0,3.0,5.0,85.0,61.0,44.0,11.0,15.0,3.0,6.0,33.1937029432,0.0,0.0,7.0,4.0,83.0,54.0,41.0,17.0,14.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0
Fernando Verdasco,Taro Daniel,2018.0,264.0,3.0,28.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,34.7816563997,0.0,0.0,12.0,2.0,70.0,47.0,40.0,12.0,14.0,1.0,3.0,25.5797399042,0.0,0.0,3.0,4.0,88.0,62.0,42.0,13.0,15.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0
Juan Martin Del Potro,Filip Krajinovic,2018.0,264.0,3.0,28.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,29.9247091034,0.0,0.0,12.0,1.0,43.0,29.0,24.0,8.0,7.0,3.0,3.0,26.554414784400002,0.0,0.0,1.0,2.0,41.0,25.0,12.0,6.0,8.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Pierre Hugues Herbert,2018.0,264.0,3.0,28.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,1.0,22.9158110883,0.0,0.0,0.0,3.0,96.0,69.0,42.0,14.0,15.0,2.0,6.0,27.5017111567,0.0,0.0,12.0,9.0,107.0,63.0,43.0,17.0,15.0,8.0,12.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Denis Kudla,2018.0,264.0,3.0,28.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,22.9158110883,0.0,0.0,1.0,0.0,40.0,30.0,22.0,8.0,8.0,0.0,1.0,26.0260095825,0.0,0.0,6.0,2.0,51.0,28.0,18.0,6.0,8.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0
Pierre Hugues Herbert,Alex De Minaur,2018.0,264.0,3.0,28.0,0.0,154.0,0.0,0.0,0.0,0.0,1.0,1.0,27.5017111567,0.0,0.0,9.0,6.0,116.0,71.0,51.0,22.0,16.0,3.0,6.0,19.523613963,0.0,0.0,5.0,4.0,101.0,64.0,49.0,21.0,16.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Denis Shapovalov,2018.0,264.0,3.0,28.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9158110883,0.0,0.0,1.0,6.0,117.0,78.0,50.0,16.0,17.0,9.0,15.0,19.4250513347,0.0,0.0,7.0,11.0,122.0,69.0,47.0,22.0,16.0,10.0,15.0,1.0,0.0,0.0,0.0,1.0
Pierre Hugues Herbert,Dusan Lajovic,2018.0,264.0,3.0,28.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,27.5017111567,0.0,0.0,7.0,1.0,50.0,33.0,28.0,13.0,10.0,1.0,1.0,28.158795345700003,0.0,0.0,0.0,2.0,50.0,33.0,22.0,10.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0
Kyle Edmund,Dusan Lajovic,2018.0,264.0,3.0,28.0,0.0,93.0,0.0,0.0,0.0,0.0,1.0,1.0,23.633127994499997,0.0,0.0,3.0,2.0,81.0,44.0,35.0,20.0,11.0,2.0,2.0,28.158795345700003,0.0,0.0,7.0,0.0,62.0,33.0,27.0,16.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
Dusan Lajovic,Cameron Norrie,2018.0,264.0,3.0,28.0,0.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,28.158795345700003,0.0,0.0,1.0,3.0,85.0,67.0,47.0,7.0,10.0,9.0,9.0,23.0116358658,0.0,0.0,3.0,1.0,60.0,43.0,31.0,9.0,10.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Cameron Norrie,2018.0,264.0,3.0,28.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9158110883,0.0,0.0,0.0,0.0,73.0,56.0,40.0,12.0,10.0,2.0,2.0,23.0116358658,0.0,0.0,3.0,2.0,63.0,35.0,30.0,11.0,10.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Alexander Bublik,2018.0,264.0,3.0,28.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,22.9158110883,0.0,0.0,3.0,0.0,54.0,39.0,30.0,8.0,10.0,1.0,3.0,20.848733744,0.0,0.0,3.0,10.0,68.0,46.0,29.0,6.0,9.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0
Denis Shapovalov,Ilya Ivashka,2018.0,264.0,3.0,28.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,1.0,19.4250513347,0.0,0.0,8.0,3.0,91.0,50.0,38.0,20.0,15.0,2.0,5.0,24.5612594114,0.0,0.0,4.0,5.0,93.0,49.0,35.0,22.0,14.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0
Cameron Norrie,Ilya Ivashka,2018.0,264.0,3.0,28.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0116358658,0.0,0.0,4.0,5.0,72.0,50.0,32.0,10.0,10.0,7.0,10.0,24.5612594114,0.0,0.0,5.0,4.0,60.0,25.0,20.0,11.0,11.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0
Damir Dzumhur,Ramkumar Ramanathan,2018.0,264.0,3.0,28.0,0.0,87.0,0.0,0.0,0.0,0.0,1.0,1.0,26.3271731691,0.0,0.0,2.0,5.0,73.0,48.0,36.0,12.0,9.0,10.0,10.0,23.704312115,0.0,0.0,8.0,4.0,64.0,39.0,29.0,8.0,9.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0
Tennys Sandgren,Ramkumar Ramanathan,2018.0,264.0,3.0,28.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,27.099247091,0.0,0.0,3.0,1.0,50.0,32.0,25.0,10.0,8.0,2.0,2.0,23.704312115,0.0,0.0,1.0,0.0,43.0,29.0,15.0,5.0,7.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0
Nikoloz Basilashvili,Fernando Verdasco,2018.0,264.0,3.0,28.0,0.0,92.0,0.0,0.0,0.0,0.0,1.0,0.0,26.5653661875,0.0,0.0,6.0,4.0,75.0,43.0,30.0,18.0,11.0,6.0,8.0,34.7816563997,0.0,0.0,5.0,5.0,73.0,47.0,35.0,11.0,11.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Fernando Verdasco,2018.0,264.0,3.0,28.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9158110883,0.0,0.0,1.0,2.0,83.0,67.0,45.0,9.0,14.0,2.0,6.0,34.7816563997,0.0,0.0,14.0,6.0,101.0,58.0,44.0,17.0,14.0,8.0,11.0,1.0,0.0,0.0,0.0,1.0
Fernando Verdasco,Gael Monfils,2018.0,264.0,3.0,28.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,34.7816563997,0.0,0.0,1.0,4.0,104.0,59.0,42.0,27.0,16.0,3.0,6.0,31.986310746100003,0.0,0.0,7.0,10.0,110.0,62.0,47.0,28.0,16.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0
Alex De Minaur,Mackenzie Mcdonald,2018.0,264.0,3.0,28.0,0.0,160.0,0.0,0.0,0.0,0.0,1.0,1.0,19.523613963,0.0,0.0,7.0,3.0,98.0,61.0,41.0,19.0,12.0,9.0,12.0,23.364818617399997,0.0,0.0,5.0,4.0,111.0,69.0,42.0,20.0,13.0,9.0,13.0,1.0,0.0,0.0,0.0,1.0
Fabio Fognini,Marton Fucsovics,2018.0,264.0,3.0,28.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,31.318275154000002,0.0,0.0,2.0,1.0,71.0,46.0,30.0,16.0,10.0,5.0,6.0,26.606433949299998,0.0,0.0,4.0,6.0,73.0,32.0,21.0,20.0,10.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0
Andrey Rublev,Joao Sousa,2018.0,264.0,3.0,28.0,0.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,20.9089664613,0.0,0.0,3.0,0.0,54.0,28.0,21.0,16.0,8.0,1.0,1.0,29.4674880219,0.0,0.0,1.0,1.0,45.0,28.0,16.0,6.0,8.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0
Juan Martin Del Potro,Karen Khachanov,2018.0,264.0,3.0,28.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,29.9247091034,0.0,0.0,11.0,1.0,70.0,51.0,39.0,9.0,11.0,2.0,3.0,22.3244353183,0.0,0.0,7.0,0.0,65.0,49.0,34.0,8.0,11.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0
Alex De Minaur,Yuichi Sugita,2018.0,264.0,3.0,28.0,0.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,19.523613963,0.0,0.0,2.0,1.0,39.0,20.0,16.0,14.0,8.0,2.0,3.0,29.9383983573,0.0,0.0,0.0,2.0,42.0,18.0,10.0,8.0,7.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0
Malek Jaziri,Yibing Wu,2018.0,264.0,3.0,28.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,1.0,34.6009582478,0.0,0.0,7.0,2.0,57.0,38.0,29.0,9.0,9.0,0.0,1.0,18.2368240931,0.0,0.0,1.0,0.0,60.0,37.0,25.0,11.0,10.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0
Dusan Lajovic,Grigor Dimitrov,2018.0,264.0,3.0,28.0,0.0,111.0,0.0,0.0,0.0,0.0,1.0,1.0,28.158795345700003,0.0,0.0,4.0,1.0,74.0,52.0,33.0,15.0,14.0,1.0,5.0,27.282683093800003,0.0,0.0,9.0,9.0,98.0,54.0,39.0,17.0,14.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0
Alexander Zverev,Roberto Bautista Agut,2018.0,264.0,3.0,28.0,0.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0,21.3524982888,0.0,0.0,4.0,3.0,54.0,34.0,26.0,10.0,10.0,1.0,3.0,30.425735797399998,0.0,0.0,3.0,4.0,82.0,48.0,24.0,20.0,10.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0
Nikoloz Basilashvili,Kyle Edmund,2018.0,264.0,3.0,28.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,26.5653661875,0.0,0.0,7.0,4.0,73.0,41.0,32.0,15.0,11.0,4.0,6.0,23.633127994499997,0.0,0.0,3.0,1.0,73.0,38.0,24.0,19.0,11.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0
Fabio Fognini,Radu Albot,2018.0,264.0,3.0,28.0,0.0,107.0,0.0,0.0,0.0,0.0,1.0,1.0,31.318275154000002,0.0,0.0,3.0,3.0,88.0,67.0,41.0,5.0,13.0,7.0,13.0,28.848733744,0.0,0.0,3.0,2.0,76.0,48.0,29.0,11.0,12.0,10.0,16.0,1.0,0.0,0.0,0.0,1.0
Filip Krajinovic,Mischa Zverev,2018.0,264.0,3.0,28.0,0.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,26.554414784400002,0.0,0.0,8.0,1.0,55.0,37.0,29.0,11.0,9.0,1.0,1.0,31.0718685832,0.0,0.0,4.0,3.0,56.0,34.0,26.0,5.0,8.0,7.0,10.0,1.0,0.0,0.0,0.0,1.0
Kyle Edmund,Matteo Berrettini,2018.0,264.0,3.0,28.0,0.0,169.0,0.0,0.0,0.0,0.0,1.0,1.0,23.633127994499997,0.0,0.0,6.0,2.0,118.0,63.0,46.0,33.0,18.0,6.0,7.0,22.431211499,0.0,0.0,10.0,1.0,107.0,67.0,43.0,28.0,18.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0
Tatsuma Ito,Federico Gaio,2018.0,264.0,3.0,28.0,0.0,110.0,0.0,0.0,0.0,0.0,1.0,1.0,29.2019164956,0.0,0.0,5.0,2.0,73.0,44.0,32.0,16.0,13.0,3.0,6.0,26.4777549624,0.0,0.0,10.0,6.0,84.0,40.0,27.0,18.0,13.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0
Malek Jaziri,Alexander Zverev,2018.0,264.0,3.0,28.0,0.0,153.0,0.0,0.0,0.0,0.0,1.0,1.0,34.6009582478,0.0,0.0,8.0,5.0,124.0,60.0,46.0,28.0,15.0,13.0,17.0,21.3524982888,0.0,0.0,9.0,2.0,83.0,50.0,39.0,18.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
Marton Fucsovics,Marco Cecchinato,2018.0,264.0,3.0,28.0,0.0,74.0,0.0,0.0,0.0,0.0,1.0,1.0,26.606433949299998,0.0,0.0,0.0,3.0,47.0,21.0,19.0,17.0,9.0,0.0,0.0,25.9630390144,0.0,0.0,1.0,2.0,63.0,35.0,21.0,15.0,9.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0
Grigor Dimitrov,Tennys Sandgren,2018.0,264.0,3.0,28.0,0.0,83.0,0.0,0.0,0.0,0.0,1.0,1.0,27.282683093800003,0.0,0.0,1.0,2.0,55.0,32.0,24.0,17.0,11.0,1.0,2.0,27.099247091,0.0,0.0,8.0,3.0,66.0,43.0,32.0,8.0,10.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0
Vasek Pospisil,Tennys Sandgren,2018.0,264.0,3.0,28.0,0.0,84.0,0.0,0.0,0.0,0.0,1.0,1.0,28.1779603012,0.0,0.0,0.0,1.0,62.0,44.0,31.0,11.0,10.0,3.0,5.0,27.099247091,0.0,0.0,2.0,2.0,64.0,37.0,19.0,15.0,10.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0
Jason Jung,Brayden Schnur,2018.0,264.0,3.0,28.0,0.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0841889117,0.0,0.0,2.0,0.0,66.0,46.0,33.0,14.0,10.0,4.0,4.0,23.129363449699998,0.0,0.0,5.0,4.0,63.0,40.0,32.0,11.0,10.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0
Ramkumar Ramanathan,Max Purcell,2018.0,264.0,3.0,28.0,0.0,118.0,0.0,0.0,0.0,0.0,1.0,1.0,23.704312115,0.0,0.0,9.0,7.0,89.0,51.0,37.0,22.0,15.0,3.0,5.0,20.1889117043,0.0,0.0,17.0,6.0,101.0,57.0,50.0,15.0,15.0,7.0,9.0,1.0,0.0,0.0,0.0,1.0
Filip Krajinovic,Feliciano Lopez,2018.0,264.0,3.0,28.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,26.554414784400002,0.0,0.0,4.0,1.0,82.0,58.0,38.0,10.0,11.0,5.0,8.0,36.933607118400005,0.0,0.0,12.0,1.0,81.0,53.0,35.0,10.0,10.0,10.0,14.0,1.0,0.0,0.0,0.0,1.0
Viktor Troicki,Guillermo Garcia Lopez,2018.0,264.0,3.0,28.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,32.5420944559,0.0,0.0,1.0,1.0,31.0,17.0,11.0,7.0,4.0,3.0,4.0,35.2881587953,0.0,0.0,2.0,2.0,32.0,21.0,13.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0
Nikoloz Basilashvili,Malek Jaziri,2018.0,264.0,3.0,28.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,1.0,26.5653661875,0.0,0.0,6.0,2.0,46.0,22.0,18.0,15.0,8.0,1.0,1.0,34.6009582478,0.0,0.0,3.0,5.0,62.0,28.0,18.0,12.0,8.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0
Nikoloz Basilashvili,Juan Martin Del Potro,2018.0,264.0,3.0,28.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,26.5653661875,0.0,0.0,3.0,5.0,75.0,45.0,33.0,17.0,10.0,7.0,7.0,29.9247091034,0.0,0.0,11.0,0.0,65.0,41.0,31.0,9.0,10.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0
Mackenzie Mcdonald,Lukas Lacko,2018.0,264.0,3.0,28.0,0.0,102.0,0.0,0.0,0.0,0.0,1.0,1.0,23.364818617399997,0.0,0.0,2.0,3.0,65.0,42.0,32.0,14.0,11.0,3.0,4.0,30.8720054757,0.0,0.0,6.0,6.0,79.0,33.0,19.0,20.0,12.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0
Jason Jung,James Ward,2018.0,264.0,3.0,28.0,0.0,85.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0841889117,0.0,0.0,4.0,5.0,75.0,47.0,35.0,12.0,11.0,2.0,4.0,30.3956194387,0.0,0.0,7.0,2.0,67.0,44.0,30.0,12.0,11.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0
Matteo Berrettini,Jiri Vesely,2018.0,264.0,3.0,28.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,22.431211499,0.0,0.0,3.0,0.0,59.0,46.0,35.0,7.0,9.0,6.0,6.0,25.1882272416,0.0,0.0,0.0,4.0,45.0,32.0,18.0,7.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0
Ramkumar Ramanathan,Jiri Vesely,2018.0,264.0,3.0,28.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,23.704312115,0.0,0.0,7.0,3.0,49.0,27.0,25.0,15.0,10.0,0.0,0.0,25.1882272416,0.0,0.0,5.0,8.0,79.0,54.0,34.0,9.0,9.0,11.0,14.0,1.0,0.0,0.0,0.0,1.0
Fernando Verdasco,Jason Jung,2018.0,264.0,3.0,28.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,34.7816563997,0.0,0.0,6.0,0.0,51.0,35.0,26.0,12.0,9.0,0.0,0.0,29.0841889117,0.0,0.0,2.0,2.0,52.0,35.0,20.0,8.0,8.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0
Brayden Schnur,Go Soeda,2018.0,264.0,3.0,28.0,0.0,84.0,0.0,0.0,0.0,0.0,1.0,1.0,23.129363449699998,0.0,0.0,17.0,5.0,64.0,43.0,34.0,13.0,11.0,3.0,3.0,33.0732375086,0.0,0.0,2.0,3.0,84.0,60.0,39.0,11.0,11.0,7.0,9.0,1.0,0.0,0.0,0.0,1.0
Taro Daniel,Tatsuma Ito,2018.0,264.0,3.0,28.0,0.0,175.0,0.0,0.0,0.0,0.0,1.0,1.0,25.5797399042,0.0,0.0,3.0,9.0,108.0,60.0,39.0,23.0,16.0,8.0,13.0,29.2019164956,0.0,0.0,4.0,6.0,120.0,64.0,43.0,29.0,16.0,13.0,17.0,1.0,0.0,0.0,0.0,1.0
Cameron Norrie,Di Wu,2018.0,264.0,3.0,28.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0116358658,0.0,0.0,5.0,3.0,50.0,31.0,24.0,11.0,8.0,6.0,6.0,26.069815195100002,0.0,0.0,3.0,2.0,52.0,21.0,16.0,10.0,8.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0
Dusan Lajovic,Di Wu,2018.0,264.0,3.0,28.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,28.158795345700003,0.0,0.0,5.0,1.0,56.0,34.0,27.0,14.0,9.0,3.0,3.0,26.069815195100002,0.0,0.0,1.0,3.0,53.0,35.0,23.0,7.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0
Matteo Berrettini,Zhizhen Zhang,2018.0,264.0,3.0,28.0,0.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,22.431211499,0.0,0.0,3.0,0.0,50.0,39.0,26.0,6.0,9.0,1.0,3.0,20.9418206708,0.0,0.0,0.0,9.0,54.0,28.0,16.0,8.0,8.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0
Andy Murray,Zhizhen Zhang,2018.0,264.0,3.0,28.0,0.0,143.0,0.0,0.0,0.0,0.0,1.0,1.0,31.285420944600002,0.0,0.0,9.0,3.0,103.0,61.0,42.0,23.0,14.0,8.0,10.0,20.9418206708,0.0,0.0,9.0,3.0,89.0,53.0,35.0,15.0,13.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0
Yoshihito Nishioka,Filip Peliwo,2018.0,264.0,3.0,28.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,22.9158110883,0.0,0.0,1.0,0.0,37.0,27.0,22.0,7.0,7.0,0.0,0.0,20.4900752909,0.0,0.0,3.0,1.0,47.0,33.0,18.0,3.0,7.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0
Viktor Troicki,Zhe Li,2018.0,264.0,3.0,28.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,1.0,32.5420944559,0.0,0.0,4.0,1.0,61.0,37.0,27.0,10.0,11.0,1.0,4.0,30.05612594,0.0,0.0,0.0,2.0,55.0,41.0,23.0,6.0,11.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0
Filip Peliwo,Zhe Li,2018.0,264.0,3.0,28.0,0.0,133.0,0.0,0.0,0.0,0.0,1.0,1.0,20.4900752909,0.0,0.0,11.0,2.0,100.0,64.0,47.0,15.0,14.0,8.0,10.0,30.05612594,0.0,0.0,0.0,2.0,86.0,53.0,34.0,16.0,14.0,6.0,11.0,1.0,0.0,0.0,0.0,1.0
Fernando Verdasco,Andy Murray,2018.0,264.0,3.0,28.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,34.7816563997,0.0,0.0,11.0,4.0,57.0,32.0,27.0,14.0,10.0,5.0,6.0,31.285420944600002,0.0,0.0,5.0,1.0,68.0,40.0,29.0,11.0,10.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0
