PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Viktor Troicki,Lukas Rosol,2019,7,0,28,0,88,0,0,0,0,1,1,0,32.33128,0,0,7,1,66,41,31,12,9,4,5,0,31.233402,0,0,5,5,75,41,26,12,10,3,7,1,0,0,0,1
Andreas Seppi,Peter Gojowczyk,2019,4,0,28,0,115,0,0,0,0,1,1,0,34.513346999999996,0,0,11,4,93,57,40,18,15,6,10,0,29.174538000000002,0,0,7,6,91,42,28,24,14,4,8,1,0,0,0,1
Gilles Simon,Peter Gojowczyk,2019,18,0,32,0,99,0,0,0,0,1,1,0,33.722108,0,0,5,2,82,50,32,18,14,2,5,0,29.174538000000002,0,0,15,0,80,54,43,14,14,2,3,1,0,1,0,0
Roger Federer,Peter Gojowczyk,2019,25,0,28,0,77,0,0,0,0,1,1,0,37.051334999999995,0,0,6,6,78,42,27,14,9,10,14,0,29.174538000000002,0,0,2,6,58,32,26,15,10,6,7,1,0,1,0,0
Federico Delbonis,Peter Gojowczyk,2019,7,0,96,0,78,0,0,0,0,0,1,0,27.797399,0,0,3,6,76,39,26,14,9,9,13,0,29.174538000000002,0,0,4,4,51,25,20,15,9,3,4,1,0,0,0,1
John Millman,Peter Gojowczyk,2019,25,0,32,0,62,0,0,0,0,1,1,0,29.201915999999997,0,0,0,7,37,15,7,4,7,2,8,0,29.174538000000002,0,0,2,0,51,30,21,12,7,2,3,1,0,0,0,1
Fabio Fognini,Peter Gojowczyk,2019,6,0,28,0,124,0,0,0,0,1,1,0,31.318275,0,0,10,6,98,52,38,22,15,5,9,0,29.174538000000002,0,0,5,4,105,73,51,15,14,7,10,1,0,0,0,1
Andreas Seppi,Diego Sebastian Schwartzman,2019,31,0,28,0,102,0,0,0,0,1,1,0,34.513346999999996,0,0,3,1,66,40,26,16,11,5,8,0,26.028747,0,0,5,2,74,48,29,11,11,6,10,1,0,0,0,1
Pablo Cuevas,Diego Sebastian Schwartzman,2019,11,0,28,0,59,0,0,0,0,1,1,0,32.555784,0,0,1,0,38,22,16,12,6,0,0,0,26.028747,0,0,0,0,38,17,8,8,6,5,9,1,0,1,0,0
Tomas Berdych,Diego Sebastian Schwartzman,2019,7,0,28,0,180,0,0,0,0,1,1,0,32.750171,0,0,19,1,143,83,69,29,22,7,8,0,26.028747,0,0,8,2,126,76,59,26,21,4,7,1,0,0,0,1
Rafael Nadal,Diego Sebastian Schwartzman,2019,25,0,28,0,75,0,0,0,0,0,1,0,32.232717,0,0,0,3,54,41,23,4,8,2,6,0,26.028747,0,0,3,1,43,27,22,11,8,0,0,1,0,1,0,0
Guido Pella,Diego Sebastian Schwartzman,2019,14,0,128,0,110,0,0,0,0,0,1,0,28.336756,0,0,1,2,64,34,19,16,10,2,6,0,26.028747,0,0,1,1,75,49,33,13,10,6,7,1,0,0,0,1
Andreas Seppi,Steve Johnson,2019,7,0,28,0,141,0,0,0,0,1,1,0,34.513346999999996,0,0,12,5,108,62,50,28,19,5,6,0,28.673510999999998,0,0,11,3,105,52,42,30,20,1,5,1,0,0,0,1
Joao Sousa,Steve Johnson,2019,7,0,96,0,95,0,0,0,0,1,1,0,29.409993,0,0,4,2,68,43,34,16,11,1,2,0,28.673510999999998,0,0,12,4,77,36,29,23,11,6,8,1,0,0,0,1
Leonardo Mayer,Steve Johnson,2019,6,0,28,0,93,0,0,0,0,1,1,0,31.266256,0,0,4,4,73,46,32,9,11,7,11,0,28.673510999999998,0,0,2,2,59,31,22,19,10,1,2,1,0,0,0,1
Andreas Seppi,Bernard Tomic,2019,18,0,28,0,76,0,0,0,0,1,1,0,34.513346999999996,0,0,5,3,75,38,31,20,11,6,6,0,24.678987,0,0,12,1,73,50,35,10,11,3,5,1,0,0,0,1
John Isner,Bernard Tomic,2019,11,0,32,0,74,0,0,0,0,1,1,0,33.336071000000004,0,0,27,0,60,41,35,16,11,0,0,0,24.678987,0,0,13,1,74,47,34,18,11,5,6,1,0,0,0,1
Novak Djokovic,Bernard Tomic,2019,7,0,96,0,73,0,0,0,0,1,1,0,31.266256,0,0,11,3,58,36,29,14,10,0,1,0,24.678987,0,0,9,4,64,39,28,10,10,1,4,1,0,0,0,1
Marin Cilic,Bernard Tomic,2019,7,0,28,0,123,0,0,0,0,1,1,0,29.94935,0,0,24,2,93,63,49,19,15,5,6,0,24.678987,0,0,12,1,104,73,47,15,15,11,15,1,0,0,0,1
Lukas Rosol,Bernard Tomic,2019,25,0,28,0,106,0,0,0,0,1,1,0,31.233402,0,0,7,2,88,59,46,12,14,0,1,0,24.678987,0,0,7,5,95,56,43,19,15,3,5,1,0,1,0,0
